id	formula_id	formula	n_NO3	n_NO3_mono	n_NO3_bi	n_MeOH	CN	charge	geometry	isomerid	msmiles
71	16	1Zn_3NO3_3MeOH	3	3	0	3	6	-1	6_octahedral	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-]|C[OH:5]|[O-:6][N+](=O)[O-]|6_octahedral
72	17	1Zn_4NO3_0MeOH	4	2	2	0	6	-2	6_octahedral	1	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-:5]|[O-:4][N+](=O)[O-:6]|6_octahedral
73	17	1Zn_4NO3_0MeOH	4	2	2	0	6	-2	6_octahedral	2	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:5]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:6]|6_octahedral
74	17	1Zn_4NO3_0MeOH	4	3	1	0	5	-2	5_square_pyramidal	3	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:5]|5_square_pyramidal
75	17	1Zn_4NO3_0MeOH	4	3	1	0	5	-2	5_square_pyramidal	4	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:4]|[O-:3][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
76	17	1Zn_4NO3_0MeOH	4	3	1	0	5	-2	5_trigonal_bipyramidal	5	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
77	17	1Zn_4NO3_0MeOH	4	3	1	0	5	-2	5_trigonal_bipyramidal	6	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-:5]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|5_trigonal_bipyramidal
78	18	1Zn_4NO3_1MeOH	4	3	1	1	6	-2	6_octahedral	1	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:6]|[O-:5][N+](=O)[O-]|6_octahedral
79	18	1Zn_4NO3_1MeOH	4	3	1	1	6	-2	6_octahedral	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:6]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|6_octahedral
80	17	1Zn_4NO3_0MeOH	4	4	0	0	4	-2	4_tetrahedral	7	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|4_tetrahedral
