reaction_type,from_formula,to_formula,balanced_reaction,run0|BSSE=no,run8|BSSE=no,run41|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no
Add MeOH,1Zn_0MIm_5MImH_0MeOH,1Zn_0MIm_5MImH_1MeOH,1Zn_0MIm_5MImH_0MeOH + MeOH -> 1Zn_0MIm_5MImH_1MeOH,-7.902500000000021,-3.1677999999978965,-5.249099999840837,-1.8483741684176493,-1.0334643419191707,1.104200000000219
Add MeOH,1Zn_1MIm_0MImH_3MeOH,1Zn_1MIm_0MImH_4MeOH,1Zn_1MIm_0MImH_3MeOH + MeOH -> 1Zn_1MIm_0MImH_4MeOH,-22.7246,-18.15989999999738,-20.628200000093784,-17.56261283220374,-16.984598694281885,-17.62559999999712
Add MeOH,1Zn_1MIm_0MImH_4MeOH,1Zn_1MIm_0MImH_5MeOH,1Zn_1MIm_0MImH_4MeOH + MeOH -> 1Zn_1MIm_0MImH_5MeOH,-16.95980000000002,-13.068000000001575,-18.262500000128057,-14.208578142017359,-14.732229657034623,-15.802400000001853
Add MeOH,1Zn_1MIm_1MImH_2MeOH,1Zn_1MIm_1MImH_3MeOH,1Zn_1MIm_1MImH_2MeOH + MeOH -> 1Zn_1MIm_1MImH_3MeOH,-22.950199999999985,-16.77869999999757,-18.27359999989858,-14.71294004705851,-14.933480565348873,-15.643799999999374
Add MeOH,1Zn_1MIm_1MImH_3MeOH,1Zn_1MIm_1MImH_4MeOH,1Zn_1MIm_1MImH_3MeOH + MeOH -> 1Zn_1MIm_1MImH_4MeOH,-17.206900000000008,-7.0163999999990665,-12.773999999917578,-8.6824127472064,-8.326450907887192,-9.70450000000119
Add MeOH,1Zn_1MIm_2MImH_1MeOH,1Zn_1MIm_2MImH_2MeOH,1Zn_1MIm_2MImH_1MeOH + MeOH -> 1Zn_1MIm_2MImH_2MeOH,-20.08789999999998,-15.804199999997309,-15.230599999835249,-11.373594530537957,-11.825742246379377,-14.231999999997697
Add MeOH,1Zn_1MIm_2MImH_2MeOH,1Zn_1MIm_2MImH_3MeOH,1Zn_1MIm_2MImH_2MeOH + MeOH -> 1Zn_1MIm_2MImH_3MeOH,-9.089300000000026,-0.09199999999918873,-5.6852000001235865,-1.1485569777723867,0.1848849832022097,1.510899999999765
Add MeOH,1Zn_1MIm_3MImH_0MeOH,1Zn_1MIm_3MImH_1MeOH,1Zn_1MIm_3MImH_0MeOH + MeOH -> 1Zn_1MIm_3MImH_1MeOH,-7.521199999999954,0.8186000000036984,-1.8397000000695698,2.9822556459985208,3.3881710403074976,1.4875000000015461
Add MeOH,1Zn_1MIm_3MImH_1MeOH,1Zn_1MIm_3MImH_2MeOH,1Zn_1MIm_3MImH_1MeOH + MeOH -> 1Zn_1MIm_3MImH_2MeOH,-20.69130000000006,-9.11470000000054,-17.064900000055786,-12.444734954071464,-12.739935159595916,-10.286000000001422
Add MeOH,1Zn_1MIm_4MImH_0MeOH,1Zn_1MIm_4MImH_1MeOH,1Zn_1MIm_4MImH_0MeOH + MeOH -> 1Zn_1MIm_4MImH_1MeOH,-1.8794000000000217,-0.667600000002949,-3.0746999999391846,0.7704377788759302,1.5960443903168198,2.0050000000032924
Add MeOH,1Zn_2MIm_0MImH_2MeOH,1Zn_2MIm_0MImH_3MeOH,1Zn_2MIm_0MImH_2MeOH + MeOH -> 1Zn_2MIm_0MImH_3MeOH,-14.023900000000015,-15.896500000001197,-16.246599999896716,-13.463740982610034,-13.427137078047963,-16.463900000000194
Add MeOH,1Zn_2MIm_0MImH_3MeOH,1Zn_2MIm_0MImH_4MeOH,1Zn_2MIm_0MImH_3MeOH + MeOH -> 1Zn_2MIm_0MImH_4MeOH,-14.425899999999945,-1.9377000000008593,-11.343200000177603,-6.163292885554256,-5.448270809632959,-5.587700000001405
Add MeOH,1Zn_2MIm_1MImH_1MeOH,1Zn_2MIm_1MImH_2MeOH,1Zn_2MIm_1MImH_1MeOH + MeOH -> 1Zn_2MIm_1MImH_2MeOH,-14.63740000000006,-12.56649999999945,-12.844299999938812,-9.905967641068855,-10.329072776861722,-11.525499999997464
Add MeOH,1Zn_2MIm_1MImH_2MeOH,1Zn_2MIm_1MImH_3MeOH,1Zn_2MIm_1MImH_2MeOH + MeOH -> 1Zn_2MIm_1MImH_3MeOH,-3.440699999999982,4.952600000001894,-1.7955000001820736,2.4724606467352714,3.946398331754608,4.423199999996086
Add MeOH,1Zn_2MIm_2MImH_0MeOH,1Zn_2MIm_2MImH_1MeOH,1Zn_2MIm_2MImH_0MeOH + MeOH -> 1Zn_2MIm_2MImH_1MeOH,-1.5486999999999291,1.4449999999974352,-2.3856000000960194,1.2847503043885808,0.6322556414816063,1.1215000000070177
Add MeOH,1Zn_2MIm_2MImH_1MeOH,1Zn_2MIm_2MImH_2MeOH,1Zn_2MIm_2MImH_1MeOH + MeOH -> 1Zn_2MIm_2MImH_2MeOH,-13.418899999999997,-4.7699000000015985,-9.244499999971595,-5.03500570441247,-4.150771537941182,-4.801400000005287
Add MeOH,1Zn_3MIm_0MImH_1MeOH,1Zn_3MIm_0MImH_2MeOH,1Zn_3MIm_0MImH_1MeOH + MeOH -> 1Zn_3MIm_0MImH_2MeOH,-12.04430000000001,-10.659300000001622,-10.743299999914598,-7.510014289902756,-7.687398857582593,-9.025799999997162
