eval,key,objective,RMSE,diff_mean,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
62,182d398af1a7,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5743060111999512,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9473775300143004,2.6,3.4,3.0,
63,3cc70002335e,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5774891376495361,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9674775249768666,2.6,3.4,3.0,
64,a098b8d10ab0,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5675263404846191,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.979900005037434,2.6,3.4,3.0,
65,3a6a67bf1fe8,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5699751377105713,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9875775199394323,2.6,3.4,3.0,
66,17ded7c8fb98,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5598304271697998,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9923224850980015,2.6,3.4,3.0,
67,e5a4ff5084a8,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.6908533573150635,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9952550348414313,2.6,3.4,3.0,
68,8df443a8634c,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5729424953460693,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9970674502565706,2.6,3.4,3.0,
69,bbf7c600b9ba,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5612537860870361,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9981875845848607,2.6,3.4,3.0,
70,86963002ba57,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5649204254150391,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9988798656717095,2.6,3.4,3.0,
71,662f512cd922,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5544066429138184,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9993077189131507,2.6,3.4,3.0,
72,61ae8506e590,2.8660220512954915e-05,0.5820188748550479,-0.5083673602375905,0.2855931014085801,0.9915917052315643,0.999971339779487,2.8660220512954915e-05,-0.5084313068881647,0.5537586212158203,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.6,3.4,3.0,
73,b877b7254543,0.0012757991526270995,0.5903649011071953,-0.5125942350939477,0.29515783197046486,0.9910506014209842,1.001275799152627,0.0012757991526270995,-0.5097476735130178,0.560842752456665,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.218847050625473,3.4,3.0,
74,1a6d6c1b66e0,0.001825515250881704,0.5724740951169899,-0.5014516294905597,0.2783246596822431,0.9919823785823806,0.9981744847491183,0.001825515250881704,-0.5055247169885941,0.5622067451477051,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,3.2811529493745266,3.4,3.0,
75,ca008a56ec18,0.004026534132085313,0.6099601194378687,-0.5203207080809139,0.3207815412941761,0.9895185214675584,1.0040265341320853,0.004026534132085313,-0.5113367098229578,0.5696656703948975,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,1.5623058987490537,3.4,3.0,
76,da73e29463a8,0.00020065469302743555,0.580987075520369,-0.5077710988049344,0.2845347643003489,0.9916503143058409,0.9997993453069726,0.00020065469302743555,-0.5082187993219248,0.5663623809814453,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.6555216355383164,3.4,3.0,
77,92abc9a3cdc4,0.00032218924165883234,0.5802697290813121,-0.5073432676729224,0.2838222614561951,0.9916895956749381,0.9996778107583412,0.00032218924165883234,-0.5080621359330321,0.5692155361175537,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.6956724083551076,3.4,3.0,
78,2ae2d92a25c6,0.000149055892269212,0.5831040800370703,-0.5089726558763308,0.28674406713006634,0.9915276411557042,1.0001490558922692,0.000149055892269212,-0.5086400825433971,0.5712985992431641,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.5441241250173983,3.4,3.0,
79,7cc71b0ad596,0.0005608529201936996,0.5856867415172163,-0.5103368865735486,0.2896128717369333,0.9913666283012113,1.0005608529201937,0.0005608529201936996,-0.5090855121923317,0.623335599899292,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.419879338360811,3.4,3.0,
80,e5f6e51db576,1.50110268564152e-05,0.5822838170124346,-0.508517108133622,0.2858706992693893,0.9915762837814646,1.0000150110268564,1.50110268564152e-05,-0.5084836155480138,0.5614032745361328,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.5861327377125725,3.4,3.0,
81,fa27919ea692,1.4282806025556205e-05,0.5821059432641391,-0.5084167066171817,0.2856840968687638,0.9915866523181465,0.9999857171939744,1.4282806025556205e-05,-0.5084485743973248,0.5693542957305908,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.5954249794845556,3.4,3.0,
82,dff680f37487,1.687989433118986e-06,0.5821823715385377,-0.5084599265744585,0.2857641371141647,0.9915822059614884,0.9999983120105669,1.687989433118986e-06,-0.5084636928145136,0.5691862106323242,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.5914246984741545,3.4,3.0,
83,3e8d3eced57b,1.4729355313214398e-07,0.5821935076350297,-0.5084662171157122,0.2857758112518858,0.9915815573448861,1.0000001472935531,1.4729355313214398e-07,-0.5084658884745102,0.5668706893920898,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.5908431200035547,3.4,3.0,
84,cf12ad1e186a,5.821742375955452e-06,0.5822279378569295,-0.5084856197085407,0.28581198751044684,0.9915795470577837,1.000005821742376,5.821742375955452e-06,-0.5084726302437445,0.5784721374511719,2.4996332716163634,0.2685762824727005,0.7931461368949729,0.1998674239250537,3.9996410967334066,2.589043914068405,3.4,3.0,
