structure,n_imzw,variant,n_wat,monomer_index,monomer_species,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0,run8,run102,run110,run110.mmsolvent
IMZW8_1_WAT3,8,1,3,1,Wat,CH...O(C3),CH...O,H7...O,2.793464771822441,111.25960562789872,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.0389,0.3328000000001339,0.19441076274961233,0.4646000000002459,-1.0389
IMZW8_1_WAT4,8,1,4,0,ImH,OH...pi(N9),OH...pi,H1...N9,3.0778106900369946,120.87615743740338,O-H1-N9,OH...pi(N9);CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,0.25329999999999986,-0.7164999999995416,0.2220068811730016,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT4,8,1,4,1,Wat,OH...pi(N9),OH...pi,H1...N9,3.0778106900369946,120.87615743740338,O-H1-N9,OH...pi(N9);CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-4.0318000000000005,0.4277999999999338,0.301635549927596,0.5329000000001543,-4.0318000000000005
IMZW8_1_WAT5,8,1,5,0,ImH,NH...O,NH...O,H6...O,2.0202393510675907,137.6553932957754,N9-H6-O,NH...O;CH...O(C3);OH...pi(C3),ok,0.25329999999999986,-0.7164999999995416,0.22200688306475058,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT5,8,1,5,1,Wat,NH...O,NH...O,H6...O,2.0202393510675907,137.6553932957754,N9-H6-O,NH...O;CH...O(C3);OH...pi(C3),ok,-2.4649,0.36459999999988213,0.24748886433371808,0.45440000000007785,-2.4649
IMZW8_1_WAT6,8,1,6,0,ImH,CH...O(C3),CH...O,H7...O,2.6797492930158597,138.8540480822812,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.25329999999999986,-0.7164999999995416,0.22200688367593102,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT6,8,1,6,1,Wat,CH...O(C3),CH...O,H7...O,2.6797492930158597,138.8540480822812,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.7717,0.2982999999999265,0.14730311511084437,0.4394999999999527,-1.7717
IMZW8_1_WAT7,8,1,7,0,ImH,noHbond-close(HH-H7),noHbond-close,H1...H7,2.9674853778824253,,,noHbond-close(HH-H7),ok,0.25329999999999986,-0.7164999999995416,0.22200688492739573,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT7,8,1,7,1,Wat,noHbond-close(HH-H7),noHbond-close,H1...H7,2.9674853778824253,,,noHbond-close(HH-H7),ok,-1.0582000000000003,0.32549999999991996,0.19891253390960628,0.4537000000000262,-1.0582000000000003
IMZW8_1_WAT8,8,1,8,0,ImH,OH...N3,OH...N3,H2...N3,1.8143927835873908,159.4323172182269,O-H2-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,0.25329999999999986,-0.7164999999995416,0.2220068824244663,-0.3166000000001077,-0.3166000000001077
IMZW8_1_WAT8,8,1,8,1,Wat,OH...N3,OH...N3,H2...N3,1.8143927835873908,159.4323172182269,O-H2-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-3.609,0.5335999999997512,0.4287939078567433,0.6075000000000728,-3.609
IMZW9_1_WAT1,9,1,1,0,ImH,CH...O(C3),CH...O,H7...O,3.2636759055901985,149.90620253062946,C3-H7-O,CH...O(C3),ok,0.31999999999999984,-0.7705999999998312,0.3324522057082504,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT1,9,1,1,1,Wat,CH...O(C3),CH...O,H7...O,3.2636759055901985,149.90620253062946,C3-H7-O,CH...O(C3),ok,-2.0991999999999997,0.366099999999733,0.18734549238433829,0.5228000000001884,-2.0991999999999997
IMZW9_1_WAT2,9,1,2,0,ImH,CH...O(C3),CH...O,H7...O,2.71588409482695,119.98719214026694,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.31999999999999984,-0.7705999999998312,0.33245220509706996,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT2,9,1,2,1,Wat,CH...O(C3),CH...O,H7...O,2.71588409482695,119.98719214026694,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.8490000000000002,0.3714999999997417,0.2365106450743042,0.4810000000002219,-1.8490000000000002
