structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0|BSSE=no,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,run110.mmsolvent|BSSE=no
IMZW10_1_WAT2,10,1,2,CH...O(C3),CH...O,H7...O,2.6218118959736603,173.07365207299696,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.7007999999999996,-0.971400000000358,-1.5082115240511484,-1.4671790265419986,-1.5917999999983294,-1.4112999999997555
IMZW10_1_WAT3,10,1,3,noHbond-close(H-N3),noHbond-close,H2...N3,3.407442312649622,,,noHbond-close(H-N3),ok,-0.9470999999999998,-0.3500000000003638,-1.2346133584796917,-1.2163026213238481,-1.2402000000001863,-0.750199999999495
IMZW10_1_WAT4,10,1,4,OH...N3,OH...N3,H2...N3,1.7931735476935857,164.18443536227193,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-7.0486,-4.4922999999998865,-7.376504944899352,-7.332646767841652,-6.663099999999758,-4.794600000000173
IMZW10_1_WAT5,10,1,5,NH...O,NH...O,H6...O,1.843424201221466,167.04225091343233,N9-H6-O,NH...O;OH...pi(C3),ok,-4.7613,-2.5593000000008033,-4.260056309343781,-4.2000016879756,-4.654300000000148,-3.444300000000112
IMZW10_1_WAT6,10,1,6,OH...pi(C1),OH...pi,H2...C1,2.426489833205365,155.43253718726578,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3),ok,-4.1811,-2.84860000000117,-3.7732699305925053,-3.705905426235404,-3.4413000000004104,-4.1284999999998035
IMZW10_1_WAT7,10,1,7,far,far,H2...H7,5.576889129510556,,,far,ok,-0.7310999999999996,-0.3224000000009255,-0.48505023572943173,-0.4706779890402686,-0.6038000000007742,-0.5938999999998487
IMZW10_1_WAT8,10,1,8,far,far,H1...H7,4.5379558287780855,,,far,ok,0.014699999999999935,0.0764999999992142,0.005032377521274611,0.009541691339109093,-0.006400000000212458,-0.0037000000002080924
IMZW10_1_WAT9,10,1,9,OH...pi(C3),OH...pi,H2...C3,3.0078747633776244,100.08988190430081,O-H2-C3,OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-3.0705999999999998,-2.5062999999991007,-2.253314959583804,-2.229920366604347,-2.4562999999998283,-2.514100000000326
IMZW10_1_WAT10,10,1,10,CH...O(C3),CH...O,H7...O,2.923520201505199,124.66214308293668,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-1.1418,-1.6869999999998981,-1.612693654926261,-1.5681507094122935,-1.885599999999613,-1.1261999999996988
IMZW64_WAT9,64,0,9,OH...N3,OH...N3,H2...N3,2.064927158416974,160.83179074455145,O-H2-N3,OH...N3;OH...pi(C1);OH...pi(C3);CH...O(C1),ok,-6.0393,-4.1832999999987805,-6.017426935955882,-5.950566429615719,-5.619299999998475,-4.730899999999565
IMZW64_WAT11,64,0,11,OH...pi(N9),OH...pi,H1...N9,3.6584779557195644,117.3323393441245,O-H1-N9,OH...pi(N9);OH...pi(N9),ok,0.15059999999999985,-0.7382999999990716,-0.48817143836640753,-0.46553380505065434,-0.23109999999905995,0.06480000000101427
IMZW64_WAT21,64,0,21,noHbond-close(H-N3),noHbond-close,H2...N3,3.396772525195645,,,noHbond-close(H-N3),ok,-1.4136000000000004,-0.6125999999985652,-1.3657048648165073,-1.3476265929930378,-1.3677000000006956,-1.0891999999994368
IMZW64_WAT22,64,0,22,OH...pi(C3),OH...pi,H2...C3,2.99888204931271,105.78832560601663,O-H2-C3,OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-0.7336,0.2739000000019587,-0.1673610940342769,-0.13564146650605835,-0.30979999999908614,-0.7759999999989304
IMZW64_WAT29,64,0,29,OH...pi(C2),OH...pi,H1...C2,2.3952982297615883,151.92875854855134,O-H1-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,-2.3653999999999993,-2.7246999999988475,-2.2927237643452827,-2.2264861120202113,-1.5712000000003172,-2.5219999999999345
IMZW64_WAT44,64,0,44,NH...O,NH...O,H6...O,1.6817911484943664,174.27742727410848,N9-H6-O,NH...O,ok,-4.9731,-0.7101999999995314,-4.288775796449045,-4.2289373859530315,-4.174599999998463,-3.294699999999466
IMZW64_WAT49,64,0,49,CH...O(C3),CH...O,H7...O,2.480067907397094,156.6112229963115,C3-H7-O,CH...O(C3),ok,0.6358999999999999,-0.4058999999997468,0.0008690353424753994,0.0305252629914321,-0.37559999999939464,0.5572000000001935
IMZW64_WAT50,64,0,50,OH...N3,OH...N3,H1...N3,1.9879252624002244,157.46006316486228,O-H1-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-4.6912,-3.5152999999991152,-4.795732864207821,-4.730398212443106,-4.422999999998865,-3.602499999999054
IMZW64_WAT51,64,0,51,CH...O(C3),CH...O,H7...O,2.9100791971967017,139.9666320527888,C3-H7-O,CH...O(C3),ok,0.10020000000000007,-0.4517999999989115,-0.41629510701750405,-0.3767768482211977,0.03950000000077125,-0.04569999999966967
IMZW64_WAT56,64,0,56,CH...O(C3),CH...O,H7...O,3.3531799479638726,124.96580287452433,C3-H7-O,CH...O(C3),ok,-2.8847999999999994,-1.6527999999998428,-2.181410405319184,-2.1657260595238768,-2.4655000000002474,-2.308999999999287
