structure,contact_class,base_water_q,slope_water_q,delta_water_q,base_imh_q,slope_imh_q,delta_total_bind,delta_multipole,delta_monopole_dipole,delta_scc
IMZW9_1_WAT1,CH...O(C3),1.5239999999916432e-05,1.3499999999999623e-05,-1.739999999916808e-06,-1.526000000000305e-05,-1.3509999999987421e-05,-0.054563831299219295,-0.034951963950575995,-0.051708725942169104,-0.04044675066020964
IMZW9_1_WAT2,CH...O(C3),8.284999999996767e-05,7.316000000001655e-05,-9.689999999951127e-06,-8.287000000000572e-05,-7.315000000001487e-05,-0.012725954885360657,-0.04517195975085542,-0.09211380997330237,0.005848388298272611
IMZW9_1_WAT3,OH...pi(C3),-0.0002720299999999787,-0.00028810000000001335,-1.6070000000034668e-05,0.0002720400000000081,0.0002881000000000203,-0.1722445107771564,-0.1616635715272979,-0.12602134715524949,0.04743419415580019
IMZW9_1_WAT4,NH...O,0.01975416999999996,0.019581120000000007,-0.0001730499999999524,-0.019754160000000034,-0.019581120000000014,0.133666546081586,0.166918335863099,0.03182495873942631,-0.13770092999219175
IMZW9_1_WAT5,OH...N3,-0.04414406999999998,-0.04501910999999997,-0.0008750399999999936,0.044144079999999995,0.04501911,-0.7049964147018191,-0.7207607077090885,-0.37519575841075364,0.3282687174118992
IMZW9_1_WAT6,CH...O(C3),-0.0001165100000000141,-0.0001189899999999855,-2.479999999971394e-06,0.00011649000000000381,0.00011900000000001493,-0.19422805018177636,-0.1969695763231396,-0.13455026767387274,0.06274172301704617
IMZW9_1_WAT7,CH...O(C3),0.0004537199999999353,0.0004462500000000369,-7.469999999898391e-06,-0.00045373000000002023,-0.00044624000000002134,-0.17501094904489722,-0.1602374307455925,-0.10043734664106502,0.02918508913299378
IMZW9_1_WAT8,noHbond-close(HH-H7),8.799999999808961e-07,7.999999999674934e-07,-8.000000001340268e-08,-8.899999999686936e-07,-7.89999999965818e-07,-0.09276014473174055,-0.0937883190048383,-0.08236551304467961,0.01045550010589591
IMZW9_1_WAT9,CH...O(C3),4.470999999994785e-05,4.365999999994541e-05,-1.0500000000024379e-06,-4.472999999999283e-05,-4.368000000000427e-05,0.04114786699621531,0.03474093251445037,-0.027932454720865807,-0.06970971371892937
IMZW10_1_WAT1,CH...O(C3),6.500000000020378e-06,-1.8600000000201788e-06,-8.360000000040557e-06,-6.499999999999562e-06,1.870000000028793e-06,-0.1951500498525054,-0.19179839624928052,-0.128918558396999,0.06410316757197193
IMZW10_1_WAT2,CH...O(C3),0.000694110000000081,0.0006863099999999123,-7.800000000168783e-06,-0.0006941199999999856,-0.0006863099999999817,-0.106945310147601,-0.12848200005589328,-0.12127699902564781,0.05160844992821789
IMZW10_1_WAT3,noHbond-close(H-N3),-2.1040000000027703e-05,-2.141999999999422e-05,-3.7999999996651823e-07,2.1040000000031173e-05,2.1419999999980344e-05,-0.17088369373169165,-0.14990987982146164,-0.1223313404439686,-0.00628482113747586
IMZW10_1_WAT4,OH...N3,-0.046856920000000024,-0.04775337000000002,-0.0008964499999999931,0.046856919999999996,0.04775338,-0.7192099435460246,-0.713886717926413,-0.33771417826833267,0.3036286793995424
IMZW10_1_WAT5,NH...O,0.02850122999999999,0.028276140000000005,-0.00022508999999998336,-0.028501220000000015,-0.028276140000000033,0.19180159654678874,0.2084465991018596,0.03751057108012257,-0.15633821237565448
IMZW10_1_WAT6,OH...pi(C1),-0.005898020000000004,-0.005933869999999952,-3.584999999994842e-05,0.005898020000000004,0.0059338800000000025,-0.05976933614063373,-0.0991336957086979,-0.07858570972766028,0.05750653697683361
IMZW10_1_WAT7,far,0.0,0.0,0.0,-1.0000000001675335e-08,-1.3877787807814457e-17,-0.08566207131601533,-0.0807114608219981,-0.0829396842134473,-0.009886286261967192
IMZW10_1_WAT8,far,-1.0000000050247593e-08,0.0,1.0000000050247593e-08,9.999999980858654e-09,9.99999997391976e-09,-0.077740956472891,-0.062233252090209,-0.073086781455498,-0.026805635958288887
IMZW10_1_WAT9,OH...pi(C3),-7.92800000000704e-05,-8.638999999999175e-05,-7.109999999921346e-06,7.926999999999934e-05,8.641000000000898e-05,-0.1925477680633858,-0.2053281280195548,-0.15143384933017218,0.07281594836649652
IMZW10_1_WAT10,CH...O(C3),6.830999999996035e-05,6.000999999999923e-05,-8.299999999961116e-06,-6.831999999999672e-05,-6.000000000001837e-05,-0.03735231319113441,-0.028589394389264222,-0.0752105245195174,-0.03298566301359901
IMZW64_WAT9,OH...N3,-0.01556205000000005,-0.015877699999999995,-0.00031564999999994514,0.01556206000000001,0.015877700000000036,-0.5605488165991916,-0.5594388150904204,-0.3020986857998803,0.18295208143867858
IMZW64_WAT11,OH...pi(N9),-1.0769999999993285e-05,-1.0919999999969843e-05,-1.4999999997655777e-07,1.0770000000041857e-05,1.0920000000004537e-05,-0.2209987966134595,-0.21034061094742507,-0.1836771686359568,0.05472572874251935
IMZW64_WAT21,noHbond-close(H-N3),-2.7190000000065773e-05,-2.7770000000038042e-05,-5.799999999722694e-07,2.717999999998083e-05,2.7759999999973917e-05,-0.1911888335464983,-0.1872366533766323,-0.1680657996873725,0.02663325910576997
IMZW64_WAT22,OH...pi(C3),-0.0004562599999999861,-0.00047141000000000544,-1.5150000000019315e-05,0.0004562600000000347,0.00047140999999997074,-0.01786519472751863,-0.011482607613039986,-0.08068861947714062,-0.07310905804182166
IMZW64_WAT29,OH...pi(C2),-0.007829400000000042,-0.007853650000000045,-2.4250000000003435e-05,0.007829409999999981,0.007853660000000012,-0.2276116797038229,-0.2630362210394522,-0.2312804765950155,0.15192713452773787
IMZW64_WAT44,NH...O,0.04825858000000005,0.047929009999999994,-0.00032957000000005676,-0.048258579999999975,-0.047929,0.24203567522576552,0.26658986994201994,0.0563034758131542,-0.21569245099886136
IMZW64_WAT49,CH...O(C3),0.0022581900000000488,0.0022369299999999703,-2.126000000007844e-05,-0.0022581800000000124,-0.0022369499999999945,-0.1627596423256989,-0.13870143109764282,-0.11317942851949529,0.005353597077973005
IMZW64_WAT50,OH...N3,-0.021360729999999994,-0.021758579999999972,-0.0003978499999999774,0.021360729999999988,0.02175855999999996,-0.43840880379365066,-0.4373988272952589,-0.2361330073579454,0.15747594980309032
IMZW64_WAT51,CH...O(C3),0.00017898999999999,0.00017780999999994496,-1.180000000045034e-06,-0.0001789900000000108,-0.00017780000000000573,-0.1664433111917718,-0.154311545027279,-0.1363049096652482,0.011454808943337946
IMZW64_WAT56,CH...O(C3),1.596999999997628e-05,1.580000000006576e-05,-1.699999999105195e-07,-1.5969999999997098e-05,-1.580000000001719e-05,-0.10432068902158531,-0.1166357507026361,-0.12619623404567093,0.01415805700665873
