variant,structure,contact_class,ref,band_bind,energy_h0_bind,scc_bind,third_bind,monopole_dipole_bind,dipole_dipole_bind,monopole_quadrupole_bind,dipole_quadrupole_bind,quadrupole_quadrupole_bind,multipole_bind,electronic_total_bind,repulsive_bind,dispersion_bind,total_bind,diff_vs_ref
baseline,IMZW10_1_WAT9,OH...pi(C3),-1.5699375307594892,11.017626920565666,13.059050342482976,0.26828765957504225,-0.05445790769898714,0.07264332051017756,0.10461844226674824,-0.5099028407021943,0.15503311817150356,-0.47613686965759594,-0.6537448294113624,12.619135327698672,-13.904180290403552,-0.6908738119803065,-1.9759187119341572,-0.4059811811746681
baseline,IMZW10_1_WAT10,CH...O(C3),-1.0042522083385848,-140.91488109629557,12.571611148684719,0.40976174128383536,0.09801384230128565,0.08303525390634713,0.03205519196546069,-0.5930110739603753,-0.010209516392059128,-0.3590247765132017,-0.8471548582428792,12.232231874026516,-13.200366480056692,-0.6022508999621646,-1.5703853804904908,-0.5661331721519061
baseline,IMZW64_WAT9,OH...N3,-4.931276476272615,-8.354034632217095,13.807090393052789,0.5841961346234721,-0.5803901641613868,-0.2851048507289884,0.055014320349639205,-0.6837684594545428,-0.2315304136185347,-0.7438400041575514,-1.8892294076099787,11.921666893152882,-16.42232002422654,-0.7855839424025454,-5.286236885222438,-0.3549604089498235
baseline,IMZW64_WAT11,OH...pi(N9),0.5333772340381984,-129.98564942731159,16.41986319913408,0.7603152653990776,0.06376412420313234,0.38409672929654864,0.14232071749119682,-0.5190588941891964,-0.04782055173897924,-0.11612075367727258,-0.156582752817703,17.087359773167467,-16.485051581590092,-0.458121260910087,0.1441870561694532,-0.38919017786874516
baseline,IMZW64_WAT21,noHbond-close(H-N3),-0.0548242150980513,87.45233018008712,18.674224995719776,0.9047644950262932,-0.12167772657578502,-0.21800501166363145,0.06030535473304444,-0.19267239144475634,-0.06582599483300877,-0.140196723423389,-0.5563947038807929,18.900917123039186,-19.189670000095962,-0.30979352072557936,-0.5985462722790922,-0.5437220571810408
baseline,IMZW64_WAT22,OH...pi(C3),1.0002054756914731,46.57650573527214,17.41288345038499,0.711889920028994,0.06749868408707137,-0.23836537231192492,-0.02371571655705643,0.7973166125409976,0.09229384244141114,-0.2528678065179458,0.3746616223464297,18.56693373959809,-17.575002656541244,-0.6047834026975882,0.3871478058623468,-0.6130576698291264
baseline,IMZW64_WAT29,OH...pi(C2),-0.9646064032567664,-178.6247024986762,17.133500858550015,0.3071887916496898,-0.09517028311956922,0.8025578854231098,0.27961928840862366,-0.3802647799422353,-0.16022801810348236,-0.22825450040918854,0.31342987537682615,17.658949242456863,-17.4442729803002,-1.192922869607022,-0.9782464819478867,-0.013640078691120272
baseline,IMZW64_WAT44,NH...O,-3.1803611607465427,42.4053853766947,17.779840072152695,-1.4904889289738514,0.9176424327058608,-1.6204371049158919,0.0918123544219631,-1.1361909303249778,-0.20641077011515682,-1.1692798813980116,-4.040506332332075,13.166487243552268,-16.318331915226484,-0.714063487345256,-3.8659080962680337,-0.6855469355214909
baseline,IMZW64_WAT49,CH...O(C3),1.2040085002663543,-20.05635012937881,18.39676666168683,0.8693939195055704,0.16515748152793241,0.13563943586800395,0.0858267925526642,-0.22908607596421643,0.005969246622972731,-0.2095584203880067,-0.21120895855763303,19.22010910416153,-18.417399926204627,-0.5098265983010958,0.29288270515900566,-0.9111257951073486
baseline,IMZW64_WAT50,OH...N3,-3.541449673473835,-53.07489363540543,15.235780180990131,0.8697195341716594,-0.5733035741688974,-0.10369129701881928,-0.021882196624790774,-0.17345968287357663,-0.1250475779533983,-0.7528330934341401,-1.1769137851537768,14.355282355838593,-17.50962514272936,-0.8038685017106378,-3.9582111630992256,-0.4167614896253906
baseline,IMZW64_WAT51,CH...O(C3),0.8374106721312273,159.9388026891925,18.39683587598197,0.8522835559253452,0.0488074358888379,0.3207384154702931,0.1352255306189123,-0.25275799235998325,-0.015430269714369282,-0.12046851581926672,0.06730716819558621,19.36523409874172,-18.356139502052045,-0.3127273157696664,0.6963674064226253,-0.14104326570860204
baseline,IMZW64_WAT56,CH...O(C3),-0.895093214843655,43.31883203005341,17.628890409131962,0.4761920904913128,-0.055534400201742364,-0.18245308590490192,0.07083251642087392,-0.5183167387342222,-0.04610487808594323,-0.3985472684690634,-1.0745894547732564,16.974958644648325,-18.21912218088089,-0.33356947819214544,-1.5777328889216156,-0.6826396740779606
slope,IMZW1_1_WAT1,OH...N3,-7.090544614940882,11.990013028784606,3.748420313201385,1.7303863029157531,-1.0248523635985944,-0.5651506573271321,-0.44245398086736387,-0.5779142000295758,-0.3239331289536957,-1.2663218997768129,-3.1757739924564756,1.2781802600624654,-7.896299038629889,-0.7352977176871295,-7.353416433502469,-0.26287181856158703
slope,IMZW2_1_WAT1,OH...pi(C1),-3.7149982995179016,-117.05314622217197,5.946279901723448,0.0731315228810013,-0.18363424698793063,-0.005428396207277686,0.09014512450032436,-0.12005297904554087,-0.11413744723354767,-0.4364507859818433,-0.585924546718832,5.249852568146386,-7.947601828693289,-1.0768813076253776,-3.774630505420324,-0.05963220590242235
slope,IMZW2_1_WAT2,OH...N3,-5.859500398568343,7.4549760808393515,4.496923026506806,1.1311998454701768,-0.8419118910851875,-0.9022623637494167,-0.2954297033623805,-0.4434891832467256,-0.19369705166495405,-0.7996840802847425,-2.6345624450591676,2.1516485358318285,-8.228604085231812,-0.8194586608389987,-6.896414147487308,-1.0369137489189644
slope,IMZW3_1_WAT1,OH...N3,-6.5510450037545525,19.42340102668945,4.850952011843942,1.7441195360084685,-1.027470270373438,-0.7459348190348157,-0.44223221901923,-0.5957371006176002,-0.24904426579058317,-1.1694459831557933,-3.2023945131199176,2.365206764358427,-8.691941079388398,-0.7788197040268819,-7.105554019056119,-0.5545090153015666
slope,IMZW3_1_WAT2,CH...O(C1),-1.3331476696766913,133.57832471284468,7.065360280215298,0.7909583100441077,-0.10314454801406807,-0.3648400950621849,-0.021553507162277562,-0.43869287733267165,-0.12220025371483702,-0.10192115554343356,-1.0492080143173004,6.703966027927453,-8.075989263071428,-0.48118436761411754,-1.8532075400057184,-0.5200598703290271
slope,IMZW3_1_WAT3,OH...pi(C3),-3.144241372210672,-74.97813341390408,5.646031804113778,0.20322873232313074,-0.24253435700475767,-0.22629723560863818,0.02156706136691664,0.25354595600656443,-0.03178479813308642,-0.38416669660290714,-0.3671358384730437,5.239590340958792,-7.624913176528567,-1.0065239413782643,-3.391846651445156,-0.24760527923448405
