eval,key,objective,RMSE,diff_mean,mean_error,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
65,2f2dca413046,1.4700463452974186,0.5335904170101291,-0.34161895780246787,0.34161895780246787,0.41308650258743757,0.9820616394476319,0.9728992592332982,0.02710074076670177,-0.4020860989840906,0.5479981899261475,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,2.218847050625473,3.4,3.0,
66,9f6978f908ae,1.452358508410111,0.5321511996657476,-0.33347424299201056,0.33347424299201056,0.4179318286371033,0.981626957789958,0.9712743970852773,0.028725602914722703,-0.39756677470265483,0.5479934215545654,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,3.2811529493745266,3.4,3.0,
67,39965c09fa81,1.440792196680956,0.5375767602287533,-0.32952782239399214,0.32952782239399214,0.4280408162016093,0.9807294997936492,0.9709111369116499,0.029088863088350125,-0.3944308597802368,0.549353837966919,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,3.937694101250946,3.4,3.0,
68,4c7888c9a996,1.4337332690777147,0.5427451510765762,-0.3275850578893836,0.3275850578893836,0.43610351007903647,0.980002386635725,0.9709053456618738,0.02909465433812619,-0.39250101670537196,0.5506393909454346,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.34345884812358,3.4,3.0,
69,cfbb87cea967,1.42950380462307,0.5464842700107855,-0.32658821564699814,0.32658821564699814,0.4415710174343511,0.9795034331626448,0.9709774516177512,0.029022548382248825,-0.39134329173835475,0.5450365543365479,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.594235253127366,3.4,3.0,
70,42ac01756c64,1.4269652519277296,0.5489691233901425,-0.32605240847605593,0.32605240847605593,0.44508953011893787,0.9791798562720693,0.9710488747610486,0.02895112523895138,-0.3906481253334142,0.5444276332855225,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.749223594996215,3.4,3.0,
71,2188fdd1fca9,1.425430705688018,0.5505635490059974,-0.3257523662697549,0.3257523662697549,0.44730731062105733,0.9789749125372592,0.9711028102303733,0.02889718976962674,-0.39022774237087937,0.5475730895996094,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.845011658131151,3.4,3.0,
72,1a6887291cd9,1.4244970952575082,0.5515696130367237,-0.3255788589339516,0.3255788589339516,0.44869226476869295,0.9788465450662696,0.9711397123956926,0.028860287604307366,-0.3899718989668675,0.5451350212097168,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.904211936865063,3.4,3.0,
73,d5e65adc872e,1.4239256457236826,0.5521988426746574,-0.3254761829386302,0.3254761829386302,0.4495531297231881,0.9787666063275955,0.9711638978888965,0.028836102111103545,-0.3898152603273261,0.5501885414123535,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.940799721266088,3.4,3.0,
74,2ba6609bab2e,1.4235750622505012,0.5525905514610094,-0.32541448620692287,0.32541448620692287,0.45008701298494347,0.9787169734187521,0.971179323718532,0.028820676281468005,-0.38971914550253184,0.5474386215209961,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.963412215598975,3.4,3.0,
75,d659ae5c39fb,1.423359112292801,0.552833623208566,-0.3253770287181676,0.3253770287181676,0.4504175539951978,0.9786862230018902,0.9711890737103291,0.028810926289670857,-0.38965993384345365,0.5476438999176025,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.977387505667114,3.4,3.0,
76,7101ce4271a9,1.4232258861550349,0.5529842347212213,-0.32535409276453986,0.32535409276453986,0.45062210611332515,0.9786671850014189,0.9711951674122381,0.028804832587761897,-0.3896234016292361,0.5458347797393799,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.986024709931861,3.4,3.0,
77,a8986c82f59d,1.4231440191130582,0.5530774857163421,-0.3253400780636008,0.3253400780636008,0.4507485964823587,0.9786554089794063,0.9711989480736211,0.02880105192637894,-0.38960095152102997,0.5409576892852783,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9913627957352515,3.4,3.0,
78,caa9b10fdbcd,1.4230932710064121,0.5531351569355006,-0.3253314155375221,0.3253314155375221,0.4508268128820514,0.9786481260657136,0.9712013030236886,0.028798696976311433,-0.38958703463310856,0.5458683967590332,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.99466191419661,3.4,3.0,
79,8442cccc9317,1.4230619629908177,0.5531708254591957,-0.32532608556821696,0.32532608556821696,0.45087516482226847,0.9786436234359823,0.971202762315933,0.028797237684066945,-0.38957844869265,0.5478858947753906,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.996700881538642,3.4,3.0,
80,765385e03c99,1.4230425865375194,0.5531928732751068,-0.32532279066096886,0.32532279066096886,0.4509050516691802,0.9786408401561669,0.9712036671985674,0.028796332801432567,-0.38957313481232314,0.5427794456481934,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.997961032657968,3.4,3.0,
81,a171bd647521,1.423030707293088,0.5532065201022985,-0.32532078166489786,0.32532078166489786,0.4509235278247932,0.9786391194523458,0.9712042269521157,0.028795773047884277,-0.3895698768947883,0.5473175048828125,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.998739848880673,3.4,3.0,
82,476f7bede85f,1.423023284454373,0.553214927403583,-0.3253194976845023,0.3253194976845023,0.45093494405633144,0.9786380560915832,0.9712045637765218,0.028795436223478243,-0.38956784139217066,0.5464193820953369,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.999221183777295,3.4,3.0,
83,9cbbdb4df7c5,1.4230181553162682,0.5532207590324324,-0.3253186249630471,0.3253186249630471,0.45094284960404846,0.9786373198039292,0.9712048030743775,0.02879519692562249,-0.3895664347496186,0.5457110404968262,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.4,3.0,
84,d1bd91259055,1.643581829030711,0.44937368256238813,-0.11752210733354404,0.11752210733354404,0.43710950352128086,0.9807227673096348,0.9212539191875865,0.07874608081241352,-0.29322027097319164,0.5467758178710938,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,2.218847050625473,3.0,
85,c39f65eb88a4,1.39003558195737,0.5371697818790768,-0.3023112999903155,0.3023112999903155,0.44748169323660847,0.9789019534305885,0.9657244633346824,0.034275536665317574,-0.3787868374104647,0.5486502647399902,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.2811529493745266,3.0,
86,2c4a20dcd399,1.7384710187416628,0.6392155504239173,-0.43437227233466374,0.43437227233466374,0.4726028522397137,0.9773437093984143,0.9970788925756634,0.0029211074243365998,-0.4408898438119394,0.5518219470977783,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.937694101250946,3.0,
87,ec875f653090,1.3684988784495313,0.5057350232138856,-0.2526655558521771,0.2526655558521771,0.44150527297988773,0.9794545321956054,0.9538656567595194,0.0461343432404806,-0.3556004486677687,0.5444793701171875,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.016605298760402,3.0,
88,a9c58abad651,1.3674070024145006,0.5090823044230138,-0.25833482784612005,0.25833482784612005,0.4420798519302946,0.9793929858460235,0.955222444857952,0.04477755514204795,-0.3582424566393832,0.5440361499786377,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.047429269100347,3.0,
89,adbd2238de67,1.3671919113067885,0.5113016414811993,-0.2620334536407795,0.2620334536407795,0.44247015178356114,0.9793525870920605,0.9561072548958237,0.04389274510417629,-0.359966895309806,0.5468745231628418,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.067449133314736,3.0,
