Phase,Run,Method,BSSE,Complex_with_imh,Complex_without_imh,scan_value,E_with_imh,E_without_imh,dE_with_minus_without,dE_shifted_to_min
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,-1546133.6217,-429809.6982,-1116323.9235,39.87529999995604
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,-1546132.6016,-429809.6004,-1116323.0011999998,40.7976000001654
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,-1546131.888,-429809.5774,-1116322.3106,41.48820000002161
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,-1546131.3431,-429809.5641,-1116321.7789999999,42.01980000012554
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,-24707.7516,-22231.5199,-2476.2317000000003,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,-24707.8881,-22234.3576,-2473.5305000000008,2.701199999999517
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,-24706.9612,-22235.9543,-2471.0069000000003,5.224799999999959
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,-24705.2883,-22236.7088,-2468.5795,7.652200000000448
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,-24698.7584,-22236.2407,-2462.5177000000003,13.713999999999942
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,-24690.2653,-22233.9664,-2456.298899999998,19.932800000002317
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,-24685.7124,-22232.7274,-2452.9850000000006,23.24669999999969
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,-24682.8416,-22232.0511,-2450.790499999999,25.441200000001118
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,-24680.8537,-22231.6602,-2449.193500000001,27.03819999999905
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,-24679.3613,-22231.3912,-2447.9701000000023,28.261599999997998
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,-24677.3453,-22231.084,-2446.261300000002,29.970399999998335
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,-24676.0782,-22230.9295,-2445.1487000000016,31.08299999999872
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,-24675.2595,-22230.8875,-2444.3719999999994,31.859700000000885
